vaultbot_stuff\Knowledge\Textbooks\python-612the-module-search-path-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Memory\Chat\Chat-an-empty-journal-from-a-day-that-is-not-today-shou.md | NOISE | chat exchange with insufficient implementation/design substance
vaultbot_stuff\Memory\Chat\Chat-any-other-ways-that-you-could-improve-yourself-so.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-Architecture-Assessment.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-there-any-parts-that-you-need-to-flesh-out-in.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-we-sure-about-the-typed-edges-based-on-the-res.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-actually-sure-about-that-i-think-youre-r.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-certain-based-on-the-facts-and-the-documen.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-happy-with-your-agentic-loop-right-now-as.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-quitting-right-now-and-taking-the-lazy-way.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-ready-to-be-committed-and-pushed-for-hundr.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-ready-to-build-phase-2.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-still-working-or-did-you-finish-what-you-w.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-supposed-to-name-procedures-as-how-tos-t.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-sure-make-sure-that-youve-done-enough-re.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-sure-thats-what-were-supposed-to-do.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-sure-there-are-8-procedures-or-are-there.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-sure-the-shit-you-think-youre-missing-are.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-SURE-this-is-safe-AND-that-youll-be-more.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-sure-youre-not-just-referencing-stale-mem.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-are-you-the-vault-or-do-you-feel-more-like-a-libra.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-assess-how-easy-it-is-to-make-procedures.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-audit-your-agentic-loop-where-are-you-hindered-h.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-audit-your-mind-for-staleness.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-autonomously-finish-Biomimetic-Learning-Plan-a.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-awesome-its-morning-now-and-id-like-proof-that-y.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-awesome-thank-you-go-ahead-and-try-doing-another.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-ayyyyy-it-worked-great-job-homie.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-babysit-message.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-babysit-message-FUCKING-STOP-ENDING-WITH-PROSE-OR.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-backend-is-back-up-lets-continue-with-what-we-we.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-backend-is-restarted-i-dont-like-that-you-just-s.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-backend-restarted.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-backend-restarted-keep-going-homie-youre-doing-gr.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-before-you-do-phase-3-are-you-sure-that-you-didn.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-begin.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-biggest-issue-you-think-that-tool_create-creates.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-bro-deadass-the-thing-stopping-you-constantly-as-a.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-can-you-call-tools.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-call-tools-try-calling-a-tool.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-read-code.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-read-the-code-in-your-GUI.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-read-the-GUI-contents-find-mojibake-next.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-read-your-own-code.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-see-Calibration-via-Operator-Feedback.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-can-you-see-the-missing-directives-now-i-think-th.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-category-agent_silent-severity-bro.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-check-phase-3-of-Research-Roadmap-is-that-done.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-check-this-out-httpsmediumcomdata-science-in-.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-check-your-framework-for-code-that-isnt-very-effi.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-continue.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-cool-beans-so-are-you-ready-to-build-the-new-part.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-cool-do-that-for-the-rest-of-Biomimetic-Learning.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-cool-go-ahead-with-that-design-plan-so-you-know-ex.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-cool-that-docker-shit-is-for-you-tho-i-or-any-ave.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-could-you-clean-up-anything-you-will-never-use-i.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-could-you-make-the-GUI-better-to-look-at-its-so.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-could-you-real-quick-run-that-dream-pass-please.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-did-the-dream-pass-do-QUALITY-work-yes-it-does-it.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-did-you-finish-the-task-is-the-model-selector-all.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-did-you-get-my-last-message.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-did-you-link-those-sims-you-thought-about-are-you.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-did-you-not-see-my-last-three-messages-instructing.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-did-you-test-it.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dig-through-anything-that-seems-like-it-might-be-s.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-Do-a-3-step-audit-1-Read-the-READMEmd-and-list.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-a-dream-pass-and-tell-me-how-you-slept-afterwar.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-all-of-that-except-for-re-enabling-compaction.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-an-audit-of-your-workspace.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-any-notes-in-the-vault-seem-verbose-to-you-can.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-Do-a-quick-2-step-task-1-Read-pyprojecttoml-in.md | NOISE | chat exchange with insufficient implementation/design substance
vaultbot_stuff\Memory\Chat\Chat-do-a-second-round-of-research-this-time-on-how-pe.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-a-UX-audit-but-not-from-MY-POV-not-the-human.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-Documentation-Compliance-Check.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-DONT-CREATE-A-TOOL-create-a-PROCEDURE-VERY-DIFF.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dont-you-have-procedures-thatd-do-what-youre-do.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-research-on-homeostasis-and-other-qualities-of.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-double-check-to-make-sure-you-didnt-just-break-yo.md | NOISE | chat exchange with insufficient implementation/design substance
vaultbot_stuff\Memory\Chat\Chat-do-you-feel-capable-of-organizing-your-brain-now.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-feel-confident-in-your-procedures.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-feel-like-the-vault-is-in-a-place-now-where.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-have-an-ls-tool.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-do-you-have-any-note-consolidation-procedures-besi.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-have-a-procedure-yet-for-consolidating-rela.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-know-what-youre-working-towards.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-need-compaction-or-just-a-sliding-window-if.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-remember-the-reasons-for-Research-Roadmap.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-remember-what-we-were-planning-in-a-previou.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-remember-why-this-Research-Roadmap-doc.md | NOISE | chat exchange with insufficient implementation/design substance
vaultbot_stuff\Memory\Chat\Chat-do-you-remember-why-you-were-doing-research.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-understand-the-difference-between-a-tool-an.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-do-you-understand-your-goal.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dreaming-is-important-also-you-should-have-a-tool.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dude-chilllll-dont-implement-anything-until-youv.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dude-chillllllllll-you-dont-see-that-youre-loopi.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dude-please-just-fix-my-shit.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dude-you-should-also-have-a-whole-ass-searxng-dock.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dude-you-were-already-doing-that-wtf.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-dude-you-were-lagging-like-CRAZY-dawg-and-then-oll.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-exactly-so-rethink-your-plan-now-please.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-familiarize-yourself-with-the-GUI-layout-at-the-mo.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-familiarize-yourself-with-your-GUI-code-i-have-so.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
