.github\issue_template.md | KEEP | project issue template
vaultbot_stuff\Knowledge\Biology\Homeostasis-and-Animal-Regulation.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Homeostasis-Through-the-Knowledge-Triad.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Qualities-of-Life.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Reproduction-and-Genetic-Inheritance.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Reproduction-and-Genetic-Persistence.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Cloud-Model-Obsolescence-Architecture.md | KEEP | load-bearing architecture / procedure design note
vaultbot_stuff\Knowledge\Concepts\Ephemeral-Argument-Architecture.md | KEEP | project concept / spec note
vaultbot_stuff\Knowledge\Concepts\Execution-Loop-Dominance-Pattern.md | KEEP | project concept / spec note
vaultbot_stuff\Knowledge\Concepts\Sean-Communication-Preferences.md | KEEP | project concept / spec note
vaultbot_stuff\Knowledge\Concepts\Self-Edit-Verification-Directive.md | KEEP | project concept / spec note
vaultbot_stuff\Knowledge\Concepts\Sliding-Window-Conversation-Trail-Tools-as-Procedures-Spec.md | KEEP | project concept / spec note
vaultbot_stuff\Knowledge\Procedure-Composition-Patterns.md | KEEP | load-bearing architecture / procedure design note
vaultbot_stuff\Knowledge\Research\AB-testing-of-prompts-and-procedures-in-production-LLM-agent-systems-how-to-run-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\agentic-memory-architecture-best-practices-2026-episodic-memory-logging-automati.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\AI-system-audit-categories-how-to-audit-an-AI-agent-system-for-reliability-knowl.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\Artificial-embryogenesis-and-morphogenesis-in-computing-growing-neural-networks-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Artificial-homeostasis-in-software-and-machines-how-researchers-have-simulated-b.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Artificial-immune-systems-algorithms-negative-selection-clonal-selection-danger-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Artificial-immune-systems-in-software-danger-theory-negative-selection-algorithm.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Artificial-life-digital-organisms-Tierra-digital-evolution-Avida-artificial-life.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Artificial-life-simulation-digital-organisms-that-grow-reproduce-and-evolve-Tier.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\atomic-file-write-pattern-write-to-temporary-file-validate-then-rename-to-target.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Automated-claim-verification.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Automated-claim-verification-and-fact-checking-of-LLM-outputs-against-source-doc.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Automated-experience-consolidation-for-AI-agents-converting-episodic-memory-logs.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Automated-Vault-Maintenance-Research.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Autonomous-Researcher-Quality-Gate.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Autopoiesis-and-self-organizing-systems-in-computing-Maturana-Varela-autopoiesis.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Bacteria-forming-multicellular-structures-together-and-cell-specialization-biofi.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Bacteria-forming-structures-together-and-specializing-biofilms-fruiting-bodies-m.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Basic-Chemistry-Solubility-Gradients-Hydrophobic.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Basic-Economics.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Basic-Laws-of-Physics-Energy-and-Entropy.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\best-practices-for-keeping-a-search-index-synchronized-with-filesystem-changes-e.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\best-practices-for-validating-and-sandboxing-standard-operating-procedures-befor.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\best-small-language-models-under-5B-parameters-Ollama-2025-2026-comparison-bench.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Best-tiny-small-language-models-under-3B-parameters-available-on-Ollama-in-2025-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Biomimetic-file-systems-and-cell-based-computing-architecture-using-biological-c.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Biomimetic-software-engineering-applying-biological-patterns-to-software-systems.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Buddhism.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Cached-chain-of-thought-reasoning-for-small-language-models-reasoning-cache-syst.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Calculus-and-Calculus-Based-Physics.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Calibrating-automated-quality-assessment-gates.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Calibrating-automated-quality-assessment-gates-without-ground-truth-labels-metho.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Calibration-via-Operator-Feedback.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Cell-Membranes-Structure-Strength-Exploitation.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Cell-Structure-Organelles.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Confucianism.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Context-window-management-for-graph-based-RAG-retrieval-strategies-for-truncatin.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\CRISPR-gene-editing-explained-what-CRISPR-is-how-CRISPR-Cas9-works-guide-RNA-PAM.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\Cross-Session-Patterns-from-75-Chat-Logs.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Darwinian-coding-and-evolutionary-code-mutation-testing-with-mutmut-genetic-prog.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Decoupling-AI-system-intelligence-from-model-weights-using-knowledge-graphs-inst.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Democratic-Socialism.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\dependencies.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Designing-permanent-exemplar-documents-for-pattern-matching-in-knowledge-based-A.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Determinism-and-Alternative-Views-of-the-Universe.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\deterministic-agent-frameworks-for-small-language-models-how-to-build-AI-agent-s.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Deterministic-pattern-extraction-from-text-documents-without-LLM-TF-IDF-clusteri.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Ecology-fundamentals-what-ecology-is-ecosystems-food-chains-and-food-webs-trophi.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Ecology-fundamentals-what-ecology-is-levels-of-organization-organism-population-.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\Elasticsearch-Lucene-index-synchronization-with-filesystem-commit-log-polling-vs.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Embedding-executable-code-blocks-in-SOPprocedure-documents-for-AI-agents-framewo.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Energy-flow-through-ecosystems-how-energy-enters-ecosystems-sunlight-photosynthe.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Epigenetic-regulation-and-gene-expression-control-applied-to-AI-epigenetic-inher.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\epistemology-theory-of-knowledge-how-knowledge-is-justified-and-validated-especi.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\executable-standard-operating-procedures-for-LLM-agents-compiling-SOPs-into-prog.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\FAISS-IndexIDMap2-remove_ids-vector-removal-API-documentation.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\faiss-IndexIDMap2-serialization-write_index-read_index-persist-save-load.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\few-shot-prompting-examples-and-techniques-for-small-language-models-doing-funct.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\file-system-watcher-reliability-problems-why-polling-is-needed-as-fallback-event.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Fractal-Entropy-Principle.md | KEEP | unique research note retained for manual review
vaultbot_stuff\Knowledge\Research\Framework-driven-AI-agents-where-the-framework-does-the-thinking-not-the-model-a.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Framework-Driven-Intelligence-for-Small-Models-What-Already-Exists.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Gecko-inspired-adhesive-technology-for-NASA-space-debris-cleanup-gecko-adhesion-.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\gemma4-2B-Ollama-model-Google-architecture-benchmarks-strengths-weaknesses-2025-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Generative-Agents-Park-2023-reflection-mechanism-algorithm-how-to-extract-higher.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Generative-Agents-Park-2023-reflection-mechanism-recent-memories-higher-level-co.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Generative-Agents-Park-et-al-2023-reflection-mechanism-how-agents-consolidate-ep.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Geneva-Conventions-and-International-Law.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\hermeneutics-theory-of-interpretation-the-hermeneutic-circle-how-meaning-is-deri.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\History-of-Computation-Before-Digital.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Homeostasis-in-robotics-and-AI-agents-artificial-homeostasis-variables-internal-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\how-bacteria-communicate.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-bacteria-communicate-through-quorum-sensing-AHL-autoinducer-molecules-biofil.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\How-bacteria-communicate-through-quorum-sensing-autoinducer-molecules-AHL-signal.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-bacteria-form-multicellular-structures-together-through-cellular-differentia.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-different-animals-maintain-homeostasis-specific-examples-of-thermoregulation.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\How-do-AI-agent-systems-extract-patterns-and-abstractions-from-conversation-logs.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\How-do-AI-systems-learn-from-their-own-mistakes-self-correction-in-language-mode.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\How-do-brains-work-physically-brain-anatomy-and-structure-gray-matter-white-matt.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-does-ethylene-work-as-a-plant-hormone-ethylene-biosynthesis-from-methionine-.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-does-lichen-work-The-symbiotic-relationship-between-fungi-and-algae-or-cyano.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-do-hormones-work-endocrine-system-hormone-types-peptide-steroid-amine-hormon.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\How-Music-Works-Physically.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\how-to-build-deterministic-scaffolding-for-small-language-models-so-they-can-do-.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\how-to-code_run.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\how-to-evaluate-credibility-of-sources-for-academic-research.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\how-to-evaluate-source-credibility-research-methodology-media-literacy-framework.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\How-to-implement-failure-logging-and-context-tracking-in-LLM-agent-systems-track.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\How-to-implement-OAuth2-authentication-in-an-Expressjs-application-passport-stra.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\How-to-implement-OAuth2-authentication-in-Expressjs-authorization-code-flow-pass.md | KEEP | preferred version of duplicated topic (how-to-implement-oauth2-authentication-in-expressjs-authorization-code-flow-pass)
vaultbot_stuff\Knowledge\Research\How-to-implement-OAuth2-authentication-in-Expressjs-using-passportjs-authorizati.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\how-to-safe_write.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\How-to-safely-write-JavaScript-files-with-syntax-validation-before-writing-to-di.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\how-to-structure-a-research-note-for-a-knowledge-base-zettelkasten-method-academ.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\How-to-write-a-Python-tool-or-function-best-practices-for-tool-design-API-design.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\how-to-You-were-just-restarted-mid-session-Your-restart-context-recent-chat-hist.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\How-Tribalism-Works.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Human-cooperation-evolution-why-humans-evolved-to-cooperate-altruism-in-evolutio.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Human-Rights-Activism-Movements-in-American-History.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Humans-and-Existentialism.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Information-feedback-loops-for-iterative-self-improvement.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Information-feedback-loops-for-iterative-self-improvement-in-AI-systems-self-imp.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Kafkaesque-Meaning.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Knowledge-Behavior-Meaning-in-Bits.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\knowledge-graph-edge-typing-vs-untyped-links-tradeoffs-of-adding-semantic-relati.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\lfm25-thinking-Ollama-model-reasoning-capabilities-benchmarks-vs-lfm25-base.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\LGBTQ-American-Politics-Queer-Coding-Dracula.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Liquid-AI-LFM2-3B-model-architecture-benchmarks-MMLU-reasoning-coding-Ollama-202.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Liquid-AI-LFM2-models-Ollama-lfm25-architecture-parameters-benchmarks-hybrid-SSM.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Local-30B-Big-Model-Plan.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Machine-readable-SOP-format-for-LLM-agents-what-format-for-executable-markdown-p.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Markdown-documents-with-embedded-executable-code-cells-for-AI-agent-workflows-fr.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Memory-consolidation-in-AI-agents-how-to-convert-episodic-memories-conversation-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Microsoft-Hermes-Qwen-small-language-model-function-calling-how-30B-models-do-to.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Model-agnostic-AI-agent-frameworks-how-to-build-AI-systems-independent-of-underl.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\Mutation-testing-explained-what-is-mutation-testing-how-it-works-mutation-operat.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\nemotron-3-nano-Ollama-NVIDIA-model-architecture-benchmarks-strengths-weaknesses.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Neural-chemistry-how-neurons-communicate-chemically-neurotransmitters-dopamine-s.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Neural-chemistry-neurotransmitters-and-their-chemistry-synaptic-transmission-act.md | KEEP | sourced research note with frontmatter
vaultbot_stuff\Knowledge\Research\Neural-Darwinism-and-selectionist-brain-theory-applied-to-AI-Gerald-Edelman-neur.md | DELETE | raw or near-empty research note lacking sources
vaultbot_stuff\Knowledge\Research\Neural-physics-the-physical-principles-behind-neural-signaling-cable-theory-Nern.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Neurodivergence-and-what-it-tells-us-about-how-human-intelligence-works-autism-A.md | KEEP | canonical research note referenced by Research-Roadmap
vaultbot_stuff\Knowledge\Research\Nodejs-check-flag-for-JavaScript-syntax-validation-Python-libraries-for-parsing-.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Obsidian-plugin-API-how-to-trigger-metadataCache-reload-or-graph-view-refresh-af.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Obsidian-plugin-development-how-to-force-metadataCache-to-reprocess-a-file-after.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Ollama-keep_alive-API-parameter-and-OLLAMA_KEEP_ALIVE-environment-variable-behav.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Ollama-keep_alive-API-parameter-environment-variable-how-to-keep-models-loaded-i.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Ollama-keep_alive-API-parameter-environment-variable-how-to-prevent-model-unload.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Ollama-keep_alive-parameter-environment-variable-how-to-keep-models-loaded-in-me.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Ollama-keep_alive-parameter-environment-variable-iGPU-model-residency-unload-rel.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Ollama-keep_alive-parameter-environment-variable-OLLAMA_KEEP_ALIVE-prevent-model.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\Ollama-library-best-small-models-2025-2026-under-5B-parameters-smollm-llama32-ph.md | KEEP | relevant VaultBot/agent/architecture research note
vaultbot_stuff\Knowledge\Research\Ollama-model-library-search-API-endpoint-how-to-programmatically-query-httpsolla.md | DELETE | off-topic, duplicate, or raw noise note
vaultbot_stuff\Knowledge\Research\ontology-what-kinds-of-entities-exist-and-how-to-categorize-them-especially-as-a.md | KEEP | relevant VaultBot/agent/architecture research note
