vaultbot_stuff\System\Procedures\Dream-Evaluate.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Pattern-Scan.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Plugin-Reload.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Post-Copilot-Audit.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Preflight-Safety-Check.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Procedure-Coverage-Check.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Procedure-Eval.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Procedure-Library-Index.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Proc-Step-Planner.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Proc-Step-Summary.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Refine-Concept-Card.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Regenerate-Self-Model.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Remove-All-Stops.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Research-Batch.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Review-Contributions.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Route-Task.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Safe-Write.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Self-Assessment-Using-the-Knowledge-Triad.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Self-Model-Check.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Self-Reflect.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Small-Model-Route.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Smart-Code-Read.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Smart-Note-Compare.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Smart-Note-Read.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Smart-Suggest-Links.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Smart-Vault-Search.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Stale-Code-Reference.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Structure-Research-Note.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Submit-Contribution.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Summarize-Conversation.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Summarize-Function.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Textbook-Ingest.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Textbook-Read-Page.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Tool-Usage-Report.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Torture-Test.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Trace-Concept.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Update-Stale-Note.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\VaultBot-Status.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Cleanup.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Cluster-Analyzer.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Delete.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Gaps.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Graph-Analyzer.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Health-Check.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Inventory.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Lint.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-List.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Statistics.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Vault-Topic-Density.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Verify-Claims.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Verify-Procedure-Args.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Verify-Syntax.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Write-Procedure-Draft.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Procedures\Write-Python-Tool.md | KEEP | operational procedure in canonical library
vaultbot_stuff\System\Quality-Gates\Claim-Verification-for-Vault-Notes.md | KEEP | system convention, quality gate, or operational procedure
vaultbot_stuff\System\Quality-Gates\RAG-Evaluation-for-FUSED-Retrieval.md | KEEP | system convention, quality gate, or operational procedure
vaultbot_stuff\System\Record-Convention.md | KEEP | system convention, quality gate, or operational procedure
vaultbot_stuff\System\Research-Engine-Robustness-Requirement.md | KEEP | system convention, quality gate, or operational procedure
vaultbot_stuff\System\Review-PR-Procedure.md | KEEP | system convention, quality gate, or operational procedure
vaultbot_stuff\System\Safe-Commit-Push-Procedure.md | KEEP | system convention, quality gate, or operational procedure
vaultbot_stuff\vaultbot_backend\.pytest_cache\README.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\identity\GOALS.md | KEEP | identity/self-model file
vaultbot_stuff\vaultbot_backend\identity\IDENTITY.md | KEEP | identity/self-model file
vaultbot_stuff\vaultbot_backend\identity\SELF_MODEL.md | KEEP | identity/self-model file
vaultbot_stuff\vaultbot_backend\trash\.pytest_cache\README.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\_core\src\npysort\x86-simd-sort\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\src\philox\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\src\sfc64\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\src\splitmix64\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\pip\_vendor\idna\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\pip-26.2.dist-info\licenses\src\pip\_vendor\idna\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\soupsieve-2.9.1.dist-info\licenses\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\starlette-1.3.1.dist-info\licenses\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\.venv\Lib\site-packages\uvicorn-0.52.0.dist-info\licenses\LICENSE.md | DELETE | auto-generated cache or third-party license file
vaultbot_stuff\vaultbot_backend\trash\Agentic-Loop-Turn-Protocol_20260803-153109.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Audit-VaultBot_20260731-143214.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Automated-claim-verification_20260803-041605.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Calibrating-automated-quality-assessment-gates_20260803-041605.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Capability-Audit_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Check-Entailment_20260802-193122.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Check-Procedure-Drift_20260802-201331.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Cloud-Model-Obsolescence-Architecture_20260731-172327.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Cloud-Model-Obsolescence-Architecture_20260731-174946.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Cloud-Model-Obsolescence-Architecture_20260731-175016.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Communication-Preferences_20260802-023500.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Deep-Vault-Search_20260802-201136.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Dream-Pass_20260802-195931.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Dream-Pass_20260802-201520.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Dream-Pass_20260803-033807.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Dream-Pass_20260803-033819.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Dream-Validate_20260802-201605.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Evaluate-Retrieval_20260731-143218.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Execution-Loop-Dominance-Pattern_20260803-153209.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Extract-Claims_20260802-193121.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Dangling-Links_20260802-201318.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Orphan-Procedures_20260802-193119.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Outdated-Notes_20260802-193127.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Redundant-Procedures_20260802-184442.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Redundant-Procedures_20260802-184513.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Redundant-Procedures_20260802-184540.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Redundant-Procedures_20260802-192603.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Redundant-Procedures_20260802-192657.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Find-Unlinked-Concepts_20260802-201135.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Fix-Framework-Stops_20260731-150006.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Fix-Indentation_20260731-145615.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Framework-Friction-Fix-Plan_20260803-153245.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\IDK-Fallback-Directive_20260802-023444.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Information-feedback-loops-for-iterative-self-improvement_20260803-041308.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Information-feedback-loops-for-iterative-self-improvement_20260803-041531.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Install-Diagnostics_20260803-011428.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Local-30B-Big-Model-Plan_20260801-191211.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Note-Accuracy-Check_20260802-193206.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Note-Accuracy-Check_20260802-193425.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Note-Content-Diff_20260802-201136.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Note-Similarity-Cluster_20260802-201356.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Post-Copilot-Audit_20260803-173627.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Preflight-Safety-Check_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Procedure-Composition-Patterns_20260803-041605.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Procedure-Coverage-Check_20260802-201356.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Procedure-Creator_20260731-143222.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Procedure-Description-Optimizer_20260802-201140.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Procedure-Library-Audit_20260802-201139.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Procedure-Library-Index_20260802-193326.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Procedure-Redundancy-Audit_20260802-193615.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\RAG-evaluation-metrics_20260803-041605.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-All-Stops_20260731-145428.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-All-Stops_20260731-145438.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-All-Stops_20260731-145508.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152044.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152133.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152210.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152308.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152317.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152344.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Remove-Masking-Fallbacks_20260731-152411.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Review-Contributions_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Sean-Communication-Preferences_20260803-040908.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Self-Reflect_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Semantic-Consolidation-Architecture_20260803-153139.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Sliding-Window-Conversation-Trail-Tools-as-Procedures-Spec_20260731-143759.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Sliding-Window-Conversation-Trail-Tools-as-Procedures-Spec_20260803-040908.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Smart-Note-Compare_20260802-201356.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Smart-Vault-Dig_20260802-201139.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Smart-Vault-Search_20260802-201356.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Structure-Research-Note_20260731-143222.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Structure-Research-Note_20260802-180851.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Submit-Contribution_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Suggest-Tags_20260802-201135.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\System-Status_20260802-193115.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Textbook-Ingest_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Textbook-Read-Page_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Tiny-LLM-Use-Cases-Mapping-to-VaultBot-Procedure-Cartridge_20260731-161807.md | UNSURE | trash file with possible unique directive/spec content, needs manual review
vaultbot_stuff\vaultbot_backend\trash\Torture-Test_20260731-162546.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Vault-Cluster-Analysis_20260802-193110.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Vault-Graph-Analysis_20260802-193108.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Vault-Knowledge-Only-Directive_20260802-023359.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Vault-Topic-Map_20260802-201140.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Verify-Claims_20260731-143218.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\VibeThinker-3B-small-LLM-beats-DeepSeek-GPT-GLM-benchmarks-performance_20260731-233419.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\vaultbot_backend\trash\Write-Python-Tool_20260731-143222.md | DELETE | stale draft/temp copy in trash superseded by canonical versions
vaultbot_stuff\Vault-Knowledge-Only-Directive.md | KEEP | core operational directive
